2020-06-19 11:18:47:729 | [main] Events log file for victim clients.
2020-06-19 11:18:47:729 | [main] Will use the output directory: /home/gacar/dev/tor-dos-attack/experiments/2020-06-19-11-18-47_gacar-lnx-desktop_rate-10-v2-css-per-sec-over-60-sec
2020-06-19 11:18:47:733 | [tshark_capture] Launching PCAP capture for 70 seconds...
2020-06-19 11:18:52:902 | [tor_browser_worker0] Tor Browser will load the attack page: file:///home/gacar/dev/tor-dos-attack/src/guard-discovery/adv_website.html?autoStart=true&onionVer=2&mediaType=css&ratePerSec=10, SOCKS port: 9250, control port: 9251
2020-06-19 11:18:52:929 | [tor_browser_worker0] [EVENT] CIRC 5 EXTENDED $ACC874AD6D4D3AC308CB6C044620A159A1123196~kulcosictor,$D58DA32A978FEADC1261B5A8763126F3E92B0849~bauruine31 BUILD_FLAGS=NEED_CAPACITY PURPOSE=GENERAL TIME_CREATED=2020-06-19T09:18:52.871117
2020-06-19 11:18:52:948 | [tor_browser_worker0] [EVENT] STREAM 11 SUCCEEDED 4 89.144.12.17.$CD24E771368244431E1DA30603FF11A317DB215F.exit:9001
2020-06-19 11:18:52:989 | [tor_browser_worker0] [EVENT] STREAM_BW 11 95 0 2020-06-19T09:18:52.987815
2020-06-19 11:18:52:989 | [tor_browser_worker0] [EVENT] STREAM 11 CLOSED 4 89.144.12.17.$CD24E771368244431E1DA30603FF11A317DB215F.exit:9001 REASON=END REMOTE_REASON=DONE
2020-06-19 11:18:52:994 | [tor_browser_worker0] [EVENT] HS_DESC RECEIVED cflarenuttlfuyn7imozr4atzvfbiw3ezgbdjdldmdx7srterayaozid NO_AUTH $CD24E771368244431E1DA30603FF11A317DB215F~vr241tor /nABK72OrgQITR7euVj+UN38ZDgam1k3rSm7lR6G/8E
2020-06-19 11:18:53:035 | [tor_browser_worker0] [EVENT] CIRC_MINOR 3 PURPOSE_CHANGED $ACC874AD6D4D3AC308CB6C044620A159A1123196~kulcosictor,$EAA088440B100FF8407266B5D4853FFB16A8CB67~sorrytorrey,$6D72E970EB5218702C854BE250EC0663CC14D9BD~argus BUILD_FLAGS=IS_INTERNAL,NEED_CAPACITY,NEED_UPTIME PURPOSE=HS_CLIENT_REND HS_STATE=HSCR_CONNECTING TIME_CREATED=2020-06-19T09:18:50.873789 OLD_PURPOSE=GENERAL
2020-06-19 11:18:53:035 | [tor_browser_worker0] [EVENT] CIRC_MINOR 3 CANNIBALIZED $ACC874AD6D4D3AC308CB6C044620A159A1123196~kulcosictor,$EAA088440B100FF8407266B5D4853FFB16A8CB67~sorrytorrey,$6D72E970EB5218702C854BE250EC0663CC14D9BD~argus BUILD_FLAGS=IS_INTERNAL,NEED_CAPACITY,NEED_UPTIME PURPOSE=HS_CLIENT_REND HS_STATE=HSCR_CONNECTING TIME_CREATED=2020-06-19T09:18:50.873789 OLD_PURPOSE=GENERAL OLD_TIME_CREATED=2020-06-19T09:18:50.877284
